# key	tradition	status	confidence	links	devanagari  (auto-generated by build_graph.py — do not hand-edit)
brahma	Vedic / Hindu (Purāṇic cosmology)	converged	medium	11	ब्रह्मा
brahma-sutra	Vedānta (Uttara Mīmāṃsā; āstika darśana)	converged	medium	27	ब्रह्मसूत्र
brahmacarya	Jain	converged	medium	8	ब्रह्मचर्य
brahman	Vedanta	converged	medium	50	ब्रह्मन्
cakrapanidatta	Hindu (Āyurveda; Bengal, Pāla period)	converged	medium	10	चक्रपाणिदत्त
carvaka	Cārvāka / Lokāyata (nāstika materialist)	converged	medium	16	चार्वाक
catuskoti	Buddhist	converged	medium	20	चतुष्कोटि
chaldean-oracles	Greek / Late Antique (2nd-c. theurgic scripture; foundational text for later Neoplatonic theurgy)	converged	medium	6	
charaka	Hindu (Āyurveda)	contested	medium	13	चरक
charitra	Jain	converged	medium	27	चारित्र
citta	Buddhist (primary); Sāṃkhya-Yoga (distinct usage)	converged	medium	12	चित्त
citta-vritti	Hindu (Sāṃkhya-Yoga)	converged	medium	10	चित्तवृत्ति
cynicism	Greek (Hellenistic; Socratic school)	converged	medium	7	
dalhana	Hindu (Āyurveda; surgical/Śalyatantra commentarial tradition)	converged	medium	9	डल्हण
damascius	Greek (late Neoplatonism, Athenian school)	converged	high	8	
dana	cross-tradition (Jain, Buddhist, Hindu)	converged	medium	12	दान
democritus-atom	Greek	converged	medium	14	(no Sanskrit equivalent)
dhamma	cross-tradition (Pali Buddhist — Theravāda; contrast with Sanskrit dharma in Hindu/Jain usage)	converged	medium	7	धम्म
dhanvantari	Hindu (epic / Purāṇic; Āyurvedic)	converged	medium	7	धन्वन्तरि
dharma-dravya	Jain	converged	medium	14	धर्मास्तिकाय
dharmakirti	Buddhist (Sautrāntika / Yogācāra; the Epistemological School, pramāṇavāda)	converged	medium	8	धर्मकीर्ति
dharmottara	Buddhist (Dignāga–Dharmakīrti line; Kashmiri school)	converged	medium	11	धर्मोत्तर
dharmottara-nyayabindu	Buddhist (Dharmakīrti / Dharmottara — Kashmiri pramāṇavāda)	converged	medium	11	न्यायबिन्दु
dhatu	Āyurveda	contested	medium	15	धातु
dhyana-jain	Jain	converged	medium	9	ध्यान (जैन)
digambara	Jain	converged	medium	10	दिगम्बर
dignaga-pramana	Buddhist	converged	medium	25	प्रमाण (दिग्नाग)
dravya	Jain	converged	medium	27	द्रव्य
dravya-vaisheshika	Nyaya-Vaisheshika	converged	medium	13	द्रव्य (वैशेषिक)
dravyarthika-naya	Jain	converged	medium	9	द्रव्यार्थिक नय
dukkha	Buddhist (Theravāda and general)	converged	medium	12	दुःख
durga	Hindu (Śākta; pan-Hindu Purāṇic)	converged	medium	5	दुर्गा
dvaita-vedanta	Vedānta (Dvaita / Tattvavāda; Sad-Vaiṣṇava; āstika darśana)	converged	medium	13	द्वैत वेदान्त
dvisatya	Buddhist (Madhyamaka)	converged	medium	12	द्विसत्य
epicurus-atom	Greek (Epicurean)	converged	medium	10	(no Sanskrit equivalent)
epicurus-ethics	Greek (Epicurean)	converged	medium	14	(no Sanskrit equivalent)
eriugena	Latin Christian (Carolingian); Christian Neoplatonism	contested	medium	9	
four-causes	Greek (Aristotle)	converged	medium	7	
four-noble-truths	Buddhist (Theravāda Pali canon; recognized across all Buddhist schools)	converged	medium	9	चत्वारि आर्यसत्यानि
fuzzy-logic	Western (mathematical logic / artificial intelligence)	converged	medium	7	
ganesha	Hindu (Gāṇapatya; Śaiva; pan-Hindu Purāṇic)	converged	medium	7	गणेश
garuda	Hindu (Vaiṣṇava); also Buddhist & Jain	converged	medium	9	गरुड
gaudapada	Advaita Vedānta (pre-Śaṅkara)	contested	medium	10	
gautama-aksapada	Nyāya (āstika darśana — founder)	converged	medium	6	अक्षपाद गौतम
gita	Hindu (Vedānta; cross-school)	contested	medium	24	भगवद्गीता
govinda-bhagavatpada	Advaita Vedānta (traditional lineage); Raseśvara (contested attribution)	contested	low	11	गोविन्द भगवत्पाद
guna-samkhya	Samkhya	converged	medium	11	गुण (साङ्ख्य)
gunasthana	Jain	converged	medium	28	गुणस्थान
halahala	Hindu (epic / Purāṇic)	converged	medium	4	हालाहल
hanuman	Hindu (Vaiṣṇava bhakti — Rāma cult; pan-Hindu; some Śaiva framing)	converged	medium	6	हनुमान्
hemacandra	Jain (Śvetāmbara; Caulukya-period Gujarat)	converged	medium	13	हेमचन्द्र
henosis	Greek / Late Antique (Neoplatonist mysticism)	converged	medium	11	
hetu-vidya	Buddhist (Dignāga–Dharmakīrti line)	converged	medium	22	हेतुविद्या
hetvabhasa	cross-tradition (Nyāya, Buddhist)	converged	medium	7	हेत्वाभास
hiranyakashipu	Hindu (Vaiṣṇava; Purāṇic)	converged	medium	11	हिरण्यकशिपु
iamblichus	Neoplatonism (Greek; ethnically Syrian)	converged	high	7	
indra	Hindu (Vedic → epic/Puranic)	contested	medium	14	इन्द्र
iryapathika-asrava	Jain	converged	medium	10	ईर्यापथिक-आस्रव
jaimini	Mīmāṃsā (Pūrva-Mīmāṃsā)	converged	medium	3	जैमिनि
jatayu	Hindu (Rāmāyaṇa / epic)	converged	medium	5	जटायु
jati	Nyāya-Vaiśeṣika	converged	medium	7	जाति
jina	Jain	converged	medium	12	जिन
jiva	Jain	converged	medium	32	जीव
jivanmukti	Hindu (Advaita Vedānta; also Yoga; pan-Indic comparandum)	converged	medium	13	जीवन्मुक्ति
jnana-marga	Vedānta (Advaita primary; cross-āstika)	converged	medium	10	ज्ञानमार्ग
kadru	Hindu (epic / Purāṇic)	converged	medium	4	कद्रू
kala-bhairava	Hindu (Śaiva; Tantra / Kāpālika; also Vajrayāna Buddhist)	converged	medium	4	काल भैरव
kala-dravya	Jain	converged	medium	11	काल
kali	Hindu (Śākta; Tantric; pan-Hindu Purāṇic)	converged	medium	5	काली
kalki	Hindu (Vaiṣṇava / Puranic)	converged	medium	4	कल्कि
kalpavriksha	Hindu (Purāṇic)	converged	medium	8	कल्पवृक्ष
kamadhenu	Hindu (pan-Hindu; Vedic-Purāṇic)	converged	medium	6	कामधेनु
kamalasila	Buddhist (Yogācāra-Svātantrika-Madhyamaka)	converged	medium	9	कमलशील
kanada	Nyaya-Vaisheshika (Vaiśeṣika)	converged	medium	5	कणाद
kapila	Sāṃkhya (āstika darśana — legendary founder)	converged	medium	14	कपिल
karma	Jain	converged	medium	39	कर्म
karma-marga	cross-āstika (Vedānta, Mīmāṃsā; BG framework)	converged	medium	10	कर्ममार्ग
karma-prakriti	Jain	converged	medium	9	कर्म-प्रकृति
karma-vargana	Jain	converged	low	8	कार्मण वर्गणा
karma-vedic	Vedanta	converged	medium	11	कर्म (वैदिक/हिन्दु)
kartikeya	Hindu (pan-Indian Vedic-Purāṇic; esp. Tamil Śaiva as Murukaṉ)	converged	medium	5	कार्त्तिकेय
karuna	Buddhist (Theravāda + Mahāyāna)	converged	medium	12	करुणा
karunya	Jain	converged	medium	10	कारुण्य
kashaya	Jain	converged	medium	16	कषाय
kaustubha	Hindu (Vaiṣṇava / Puranic)	converged	medium	4	कौस्तुभ
ketu	Hindu (Purāṇic; jyotiṣa)	converged	medium	5	केतु
kevala-jnana	Jain	converged	medium	19	केवलज्ञान
krishna	Hindu (Vaiṣṇava; pan-Hindu)	contested	medium	16	कृष्ण
kumarila-bhatta	Mīmāṃsā (Bhāṭṭa sub-school; āstika darśana)	converged	medium	10	कुमारिल भट्ट
kundakunda	Jain	converged	medium	8	कुन्दकुन्द
kurma	Hindu (Vedic → Vaiṣṇava)	contested	medium	6	कूर्म
lakshmi	Hindu (Vaiṣṇava / Śākta)	converged	medium	14	लक्ष्मी
leshya	Jain	converged	medium	7	लेश्या
liber-de-causis	Arabic Neoplatonism → Latin scholasticism	converged	high	5	
lingam	Hindu (Śaiva; Śākta; Liṅgāyat — Vīra Śaiva)	converged	medium	8	लिंग
loka-jain	Jain	converged	medium	12	लोक (जैन)
madhyamaka	Buddhist (Mahāyāna)	converged	medium	30	मध्यमक
madhyasthya	Jain	converged	medium	11	माध्यस्थ्य
mahabharata	Hindu (Itihāsa / Smṛti)	converged	medium	15	महाभारत
mahavira	Jain	converged	medium	14	महावीर
maitri-jain	Jain	converged	medium	9	मैत्री
makkhali-gosala	Ājīvika (heterodox / nāstika śramaṇa movement)	converged	medium	5	मक्खलि गोसाल
mala	Āyurveda	converged	medium	10	मल
manah-paryaya-jnana	Jain	converged	medium	8	मनःपर्यायज्ञान
manas	cross-tradition (Jain, Buddhist, Sāṃkhya, Nyāya-Vaiśeṣika)	converged	medium	8	मनस्
mandana-mishra	Mīmāṃsā → Advaita Vedānta	contested	medium	10	मण्डन मिश्र
many-valued-logic	Western (mathematical logic / philosophy of logic)	converged	medium	11	(no Sanskrit equivalent)
marinus	Greek / Late Antique (Athenian Neoplatonist)	converged	medium	6	
mati-jnana	Jain	converged	medium	7	मतिज्ञान
matsya	Hindu (Vedic → Vaiṣṇava)	converged	medium	4	मत्स्य
maya-advaita	Vedanta	contested	medium	28	माया (अद्वैत)
metta	Buddhist (Theravāda; pan-Buddhist)	converged	medium	10	मेत्ता
mimamsa-pramana	Vedanta	converged	medium	17	प्रमाण (मीमांसा)
mimamsa-sutra	Mīmāṃsā (Pūrva Mīmāṃsā; āstika darśana)	converged	medium	12	मीमांसासूत्र
modern-atom	Modern Physics	converged	high	7	(no Sanskrit equivalent)
mohaniya	Jain	converged	medium	8	मोहनीय
mohini	Hindu (epic / Purāṇic)	converged	medium	7	मोहिनी
moksha	Jain	converged	medium	30	मोक्ष
moksha-advaita	Vedanta	converged	medium	20	मोक्ष (अद्वैत)
mudita	Buddhist (Theravāda; pan-Buddhist)	converged	medium	7	मुदिता
mulamadhyamakakarika	Buddhist (Madhyamaka)	converged	medium	12	मूलमध्यमककारिका
nagarjuna	Buddhist (Madhyamaka)	converged	medium	10	नागार्जुन
naigama-naya	Jain	converged	medium	7	नैगमनय
namarupa	Buddhist	converged	medium	6	नामरूप
namokara	Jain	converged	medium	9	णमोकार मंत्र
nandi	Hindu (Śaiva)	converged	medium	6	नन्दि
narasimha	Hindu (Vaiṣṇava)	converged	medium	9	नरसिंह
nataraja	Hindu (Śaiva; esp. Śaiva Siddhānta / Tamil Cōḻa)	converged	medium	4	नटराज
naya	Jain	converged	medium	19	नय
neoplatonism	Greek / Late Antique (Platonist)	converged	medium	23	
nibbana-theravada	Buddhist (Theravāda; Pali Canon)	converged	medium	14	निब्बान
nikshepa	Jain	converged	medium	6	निक्षेप
nirjara	Jain	converged	medium	12	निर्जरा
nirvana-buddhist	Buddhist	converged	medium	27	निर्वाण (Pali: nibbāna)
nirvana-mahayana	Buddhist (Mahāyāna)	converged	medium	9	अप्रतिष्ठितनिर्वाण
nishchaya-vyavahara	Jain	contested	medium	10	निश्चय-व्यवहार
nous	Greek (esp. Neoplatonist — the second hypostasis)	converged	medium	6	
nyaya-sutra	Nyāya (āstika darśana)	converged	medium	18	न्यायसूत्र
omniscience-vedanta	Vedanta	converged	medium	7	सर्वज्ञत्व (वेदान्त)
padmapada	Advaita Vedānta (Vivaraṇa-prasthāna)	converged	medium	9	
pancha-mahabhuta	cross-tradition (Sāṃkhya, Vaiśeṣika, Āyurveda; Buddhist parallel with 4 elements)	converged	medium	14	पञ्चमहाभूत
papa	Jain	converged	medium	12	पाप
paraconsistent-logic	Western (mathematical logic / philosophy of logic)	converged	medium	9	
paramanu	Jain	converged	medium	13	परमाणु
paramanu-vaisheshika	Nyaya-Vaisheshika	converged	medium	9	परमाणु (वैशेषिक)
parashurama	Hindu (Vaiṣṇava / Puranic)	converged	medium	5	परशुराम
parijata	Hindu (epic / Purāṇic)	converged	medium	6	पारिजात
parinamavada	cross-tradition (Sāṃkhya, Viśiṣṭādvaita, Śaiva Siddhānta)	converged	medium	13	परिणामवाद
parmenides-being	Greek (Eleatic; Presocratic)	converged	medium	11	(no Sanskrit equivalent)
paroksha-jnana	Jain	converged	medium	8	परोक्षज्ञान
parshvanatha	Jain	converged	medium	9	पार्श्वनाथ
parvati	Hindu (Śākta; Śaiva; pan-Hindu Purāṇic)	converged	medium	9	पार्वती
paryaya	Jain	converged	medium	9	पर्याय
paryayarthika-naya	Jain	converged	medium	9	पर्यायार्थिक नय
patanjali	Yoga (āstika darśana — compiler/founder)	converged	medium	7	पतञ्जलि
paticcasamuppada-pali	Buddhist (Theravāda; Pali Canon — SN 12 *Nidāna-saṃyutta*; Abhidhamma)	converged	medium	8	पटिच्चसमुप्पाद
plato-forms	Greek (Platonic)	converged	medium	24	~
plato-soul	Greek (Plato, ~5th–4th c. BCE)	converged	medium	8	
plotinus	Greek / Late Antique (founder of Neoplatonism)	converged	medium	13	
plotinus-one	Greek (Neoplatonist)	converged	medium	20	
porphyry	Greek / Late Antique (Neoplatonist)	converged	medium	6	
prabhakara	Mīmāṃsā (Prābhākara/Guru sub-school; āstika darśana)	converged	medium	6	प्रभाकर
prahlada	Hindu (Vaiṣṇava; epic/Purāṇic)	converged	medium	12	प्रह्लाद
prajnakaragupta	Buddhist (pramāṇa / logico-epistemological school)	converged	medium	11	प्रज्ञाकरगुप्त
prakasatman	Advaita Vedānta (Vivaraṇa-prasthāna)	contested	medium	16	प्रकाशात्मन्
prakriti-samkhya	Samkhya	converged	medium	28	प्रकृति (साङ्ख्य)
pramana	Jain	converged	medium	23	प्रमाण
pramana-nyaya	Nyaya-Vaisheshika	converged	medium	31	प्रमाण (न्याय)
pramana-samuccaya	Buddhist (pramāṇavāda; Yogācāra-leaning)	converged	medium	8	प्रमाणसमुच्चय
pramanavarttika	Buddhist (pramāṇavāda; Sautrāntika–Yogācāra)	converged	medium	12	प्रमाणवार्त्तिक
pramoda	Jain	converged	medium	9	प्रमोद
prasanga-nagarjuna	Buddhist (Madhyamaka / Prāsaṅgika)	converged	medium	18	प्रसङ्ग
prashastapada	Vaiśeṣika	converged	medium	5	प्रशस्तपाद
prasthanatrayi	Vedānta (all schools; a category-term, not a text)	converged	medium	12	प्रस्थानत्रयी
pratityasamutpada	Buddhist	converged	medium	31	प्रतीत्यसमुत्पाद (Pali: paṭicca-samuppāda)
pratyabhijna	Hindu (Kashmir Śaivism)	converged	medium	12	प्रत्यभिज्ञा
pratyaksha-buddhist	Buddhist (Sautrāntika-Yogācāra logician school — Dignāga / Dharmakīrti)	converged	medium	8	प्रत्यक्ष
proclus	Greek / Late Antique (Athenian Neoplatonist)	converged	medium	13	
proclus-henad	Neoplatonism (Greek)	converged	medium	6	
psellos	Greek / Byzantine (11th-c. Christian Platonist; transmission channel for Neoplatonism)	contested	medium	8	
pseudo-dionysius	Christian Neoplatonist (probably Syrian; corpus before 532 CE)	contested	medium	4	
psyche-neoplatonic	Neoplatonism (Greek)	converged	high	6	
pudgala	Jain	converged	medium	18	पुद्गल
punya	Jain	converged	medium	10	पुण्य
purusha-samkhya	Samkhya	converged	medium	9	पुरुष (साङ्ख्य)
pyrrhonism	Greek (Pyrrhonian scepticism)	converged	medium	14	(no Sanskrit equivalent)
quantum-complementarity	Modern Physics	converged	medium	6	
rahu	Hindu (epic / Purāṇic; jyotiṣa)	converged	medium	11	राहु
rama	Hindu (Vaiṣṇava; pan-Hindu)	converged	medium	12	राम
ramayana	Hindu (Itihāsa / Smṛti)	converged	medium	15	रामायण
rasesvara	Śaiva (alchemical / rasaśāstra; a darśana by doxographic construction)	contested	medium	12	रसेश्वर
ratnatraya	Jain	converged	medium	7	रत्नत्रय
rta	Hindu (Vedic; Ṛgveda and early Brāhmaṇa period; pre-classical)	converged	medium	14	ऋत
sabda-pramana	cross-tradition (Nyāya, Mīmāṃsā, Buddhist, Jain)	converged	medium	9	शब्दप्रमाण
sadhu	Jain	converged	medium	8	साधु
sallekhana	Jain	contested	medium	8	सल्लेखना
samatva	Hindu (Vedānta; Bhagavad Gītā)	converged	medium	10	समत्व
samayasara	Jain	converged	medium	8	समयसार
samkhya-karika	Sāṃkhya (āstika darśana)	converged	medium	23	सांख्यकारिका
sampati	Hindu (Rāmāyaṇa / epic)	converged	medium	5	सम्पाति
samsara	cross-tradition (Buddhist / Jain / Hindu)	converged	medium	15	संसार
samudra-manthana	Hindu (epic / Purāṇic)	converged	medium	20	समुद्रमन्थन
samvara	Jain	converged	medium	16	संवर
samyak-darshana	Jain	converged	medium	9	सम्यग्दर्शन
sangraha-naya	Jain	converged	medium	11	संग्रहनय
santaraksita	Buddhist (Yogācāra-Svātantrika-Madhyamaka)	converged	medium	14	शान्तरक्षित
santideva	Buddhist (Madhyamaka; Mahāyāna)	converged	medium	4	शान्तिदेव
saptabhangi	Jain	converged	medium	20	सप्तभंगी
sarasvati	Hindu (Vedic / Śākta)	converged	medium	8	सरस्वती
sarvajnatman	Advaita Vedānta (post-Śaṅkara; Vārttika lineage by discipleship, Vivaraṇa-side by doctrine)	contested	medium	13	
sat	Jain	converged	medium	18	सत्
satkaryavada	Sāṃkhya (primary); Yoga; Vedānta (Advaita + Viśiṣṭādvaita)	converged	medium	12	सत्कार्यवाद
satya	Jain	converged	medium	9	सत्य
shad-avashyaka	Jain	converged	medium	7	षडावश्यक
shaivism	Hindu (Śaiva; āstika darśana; tantric and bhakti traditions)	converged	medium	29	शैव
shakti	Hindu (Śākta; Śaiva — especially Kashmir Śaivism; Tantric traditions)	converged	medium	14	शक्ति
shankara	Advaita Vedānta (āstika darśana — systematiser)	converged	medium	17	शङ्कर
shesha	Hindu (epic / Purāṇic; esp. Vaiṣṇava)	converged	high	7	शेष
shiva	Hindu (Śaiva; pan-Hindu)	converged	medium	26	शिव
shruta-jnana	Jain	converged	medium	10	श्रुतज्ञान
siddha	Jain	converged	medium	17	सिद्ध
simplicius	Greek / Late Antique (last generation, Athenian Neoplatonist school)	converged	medium	7	
skandha	Jain	converged	medium	8	स्कन्ध
skandha-buddhist	Buddhist	converged	medium	9	स्कन्ध / खन्ध (Pali: khandha)
somananda	Hindu (Kashmir Śaivism — Pratyabhijñā)	contested	medium	9	सोमानन्द
spanda	Hindu (Kashmir Śaivism)	converged	medium	9	स्पन्द
sthitaprajna	Hindu (Vedānta; Bhagavad Gītā)	converged	medium	8	स्थितप्रज्ञ
stoic-logos	Greek (Stoic)	converged	medium	14	
stoicism	Greek (Stoic; Hellenistic)	converged	medium	13	(no Sanskrit equivalent)
sunyata	Buddhist	converged	medium	28	शून्यता
sureshvara	Advaita Vedānta (Vārttika-prasthāna)	converged	medium	9	सुरेश्वर
surya	Hindu (Vedic origin; later Saura tradition + Smārta Pañcāyatana)	converged	medium	5	सूर्य
sushruta	Hindu (Āyurveda)	contested	medium	9	सुश्रुत
svarbhanu	Hindu (Vedic → epic/Puranic)	contested	medium	10	स्वर्भानु
svetambara	Jain	converged	medium	9	श्वेताम्बर
syadvada	Jain	converged	medium	9	स्याद्वाद
syrianus	Greek (Neoplatonism, Athenian school)	converged	high	5	
tanha	Buddhist (Theravāda; Pali tradition; also Mahāyāna as *tṛṣṇā*)	converged	medium	7	तण्हा
tapas	cross-tradition (Jain, Hindu, Buddhist)	converged	medium	17	तपस्
tarka	Nyāya	converged	medium	10	तर्क
tathagata-garbha	Buddhist (Mahāyāna — tathāgatagarbha tradition)	converged	medium	9	तथागतगर्भ
tattva-jain	Jain	converged	medium	21	तत्त्व (जैन)
tattvartha-sutra	Jain	converged	medium	9	तत्त्वार्थसूत्र
theravada	Buddhist (Theravāda; Pali tradition)	converged	medium	15	थेरवाद
theurgy	Greek (late Neoplatonism)	converged	high	6	
tirthankara	Jain	converged	medium	23	तीर्थंकर
tridosha	Hindu (Āyurveda)	converged	medium	7	त्रिदोष
trimurti	Hindu (Purāṇic / Smārta)	converged	medium	10	त्रिमूर्ति
trisvabhava	Buddhist (Yogācāra)	converged	medium	12	त्रिस्वभाव
ucchaihshravas	Hindu (epic / Purāṇic)	converged	medium	7	उच्चैःश्रवस्
upadhyaya	Jain	converged	medium	7	उपाध्याय
upanishad	Vedic / Vedānta (Upaniṣadic corpus, foundational to all āstika darśanas)	converged	medium	22	उपनिषद्
upayoga	Jain	converged	medium	15	उपयोग
upekkha	Buddhist (Theravāda; pan-Buddhist)	converged	medium	10	उपेक्खा
utpaladeva	Hindu (Kashmir Śaivism — Pratyabhijñā)	contested	medium	13	उत्पलदेव
utsarpini-avasarpini	Jain	converged	medium	9	उत्सर्पिणी-अवसर्पिणी
vacaspati-mishra	Advaita Vedānta (Bhāmatī-prasthāna); pan-darśana commentator	contested	medium	24	वाचस्पति मिश्र
vagbhata	Hindu (Āyurveda)	contested	medium	10	वाग्भट
vaiseshika-sutra	Nyāya-Vaiśeṣika (Vaiśeṣika; Kaṇāda)	converged	medium	19	वैशेषिकसूत्र
vaishnavism	Vedic / Hindu (Vaiṣṇava; bhakti traditions and Vedānta schools)	converged	medium	18	वैष्णव
valmiki	Hindu (Itihāsa tradition)	converged	medium	5	वाल्मीकि
vamana	Hindu (Vedic → Vaiṣṇava)	converged	medium	6	वामन
varaha	Hindu (Vedic → Vaiṣṇava)	converged	medium	6	वराह
varsaganya	Sāṃkhya	contested	low	9	वार्षगण्य
varuna	Hindu (Vedic → epic/Purāṇic)	contested	medium	12	वरुण
varuni	Hindu (Vedic-adjacent / Puranic)	contested	medium	2	वारुणी
vasubandhu	Buddhist (Sarvāstivāda-Vaibhāṣika / Sautrāntika → Yogācāra)	converged	medium	11	वसुबन्धु
vasuki	Hindu (epic / Purāṇic)	converged	medium	6	वासुकि
vatsyayana	Nyaya-Vaisheshika (Nyāya)	converged	high	4	वात्स्यायन
verethragna	Zoroastrian / Avestan (Iranian)	contested	medium	11	
vidyaranya	Advaita Vedānta (Śṛṅgeri; Vijayanagara period)	contested	medium	11	
vijnaptimatrata	Buddhist (Yogācāra)	contested	medium	20	विज्ञप्तिमात्रता
vinata	Hindu (epic / Purāṇic)	converged	medium	4	विनता
vindhyavasin	Sāṃkhya	converged	low	7	विन्ध्यवासिन्
vishishtadvaita	Vedānta (Viśiṣṭādvaita; Śrī Vaiṣṇava; āstika darśana)	converged	medium	13	विशिष्टाद्वैत
vishnu	Vedic / Hindu (Vaiṣṇava)	converged	medium	43	विष्णु
vishnu-sahasranama	Hindu (Vaiṣṇava)	converged	medium	9	विष्णुसहस्रनाम
vivartavada	Vedānta (Advaita / post-Śaṅkara)	contested	medium	10	विवर्तवाद
vritra	Hindu (Vedic → epic/Purāṇic)	contested	medium	9	वृत्र
vyapti	cross-tradition (Nyāya, Buddhist, Jain)	converged	medium	20	व्याप्ति
vyasa	Hindu (Itihāsa / Purāṇa / Vedānta tradition)	converged	medium	13	व्यास
vyasa-yogabhasya	Yoga (Pātañjala-Yoga darśana)	contested	low	6	व्यास
vyavahara-naya	Jain	converged	medium	7	व्यवहारनय
yajna	Vedic / Hindu (Brāhmaṇa; Mīmāṃsā; later Bhakti)	converged	medium	10	यज्ञ
yoga-darshana	Yoga (āstika darśana)	converged	medium	21	योगदर्शन
yogacara	Buddhist (Mahāyāna; Yogācāra / Vijñānavāda / Cittamātra)	converged	medium	14	
